source_page,published_date,title,url
15,2022-05-16,花田十輝脚本家 ①旅ものの原体験『ガンバの冒険』,https://febri.jp/febri_talk/hanada_jyukki_1/
15,2022-05-18,花田十輝脚本家 ②趣味や嗜好がハマった『戦闘メカ ザブングル』,https://febri.jp/febri_talk/hanada_jyukki_2/
15,2022-05-20,花田十輝脚本家 ③アニメの仕事がしたいと思った『うる星やつら2 ビューティフル・ドリーマー』,https://febri.jp/febri_talk/hanada_jyukki_3/
15,2022-05-23,吉野弘幸脚本家 ①「僕たちのアニメ」と感じた『超時空要塞マクロス』,https://febri.jp/febri_talk/yoshino_hiroyuki_1/
15,2022-05-25,吉野弘幸脚本家 ②ロボットアニメの教科書『新世紀エヴァンゲリオン』,https://febri.jp/febri_talk/yoshino_hiroyuki_2/
15,2022-05-27,吉野弘幸脚本家 ③「脚本家」としての原点『GEAR戦士電童』,https://febri.jp/febri_talk/yoshino_hiroyuki_3/
16,2022-04-18,大野敏哉脚本家 ①「幸せ」「平和な日常」の象徴としての『トムとジェリー』の記憶,https://febri.jp/febri_talk/ohno_toshiya_1/
16,2022-04-20,大野敏哉脚本家 ②自分たちの「青春」を投影して作り上げた『つり球』,https://febri.jp/febri_talk/ohno_toshiya_2/
16,2022-04-22,大野敏哉脚本家 ③誰かの「幸せのルーティン」を作る喜び『スイートプリキュア♪』,https://febri.jp/febri_talk/ohno_toshiya_3/
16,2022-04-25,雨宮哲演出家／アニメーター ①初めてロックを浴びたような衝撃『新世紀エヴァンゲリオン』,https://febri.jp/febri_talk/amemiya_akira_1/
16,2022-04-27,雨宮哲演出家／アニメーター ②リアルタイムな体験としての『新世紀エヴァンゲリオン劇場版 シト新生』,https://febri.jp/febri_talk/amemiya_akira_2/
16,2022-04-29,雨宮哲演出家／アニメーター ③突き放されたような気分になった『新世紀エヴァンゲリオン劇場版 Air／まごころを、君に』,https://febri.jp/febri_talk/amemiya_akira_3/
16,2022-05-02,水島精二アニメ監督／音楽プロデューサー ①演出・監督の仕事を意識した『うる星やつら2 ビューティフル・ドリーマー』,https://febri.jp/febri_talk/mizusihma_seiji_1/
16,2022-05-04,水島精二アニメ監督／音楽プロデューサー ②キャリアをつないでくれた『トップをねらえ！』,https://febri.jp/febri_talk/mizusihma_seiji_2/
16,2022-05-06,水島精二アニメ監督／音楽プロデューサー ③監督の仕事を見た『新世紀エヴァンゲリオン』,https://febri.jp/febri_talk/mizusihma_seiji_3/
17,2022-03-28,Tom-H@ckサウンドプロデューサー ①初めてアニメに深くハマった 『もののけ姫』,https://febri.jp/febri_talk/tom-hack1/
17,2022-03-30,Tom-H@ckサウンドプロデューサー ②当時の自分を勇気づけてくれた 『NARUTO -ナルト-』,https://febri.jp/febri_talk/tom-hack2/
17,2022-04-01,Tom-H@ckサウンドプロデューサー ③海外進出のきっかけ『Re:ゼロから始める異世界生活』,https://febri.jp/febri_talk/tom-hack3/
17,2022-04-04,草野華余子シンガーソングライター／作曲家 ①アニメオタクへの目覚め 『スレイヤーズ』シリーズ,https://febri.jp/febri_talk/kusanokayoko1/
17,2022-04-06,草野華余子シンガーソングライター／作曲家 ②すべての創作意欲の源 『機動戦士ガンダム』シリーズ,https://febri.jp/febri_talk/kusanokayoko2/
17,2022-04-08,草野華余子シンガーソングライター／作曲家 ③初めて主題歌を提供した 『SHIROBAKO』,https://febri.jp/febri_talk/kusanokayoko3/
17,2022-04-11,千葉道徳アニメーター ①アニメ業界に興味を持つきっかけ 『機動戦士ガンダム』,https://febri.jp/febri_talk/chibamichinori1/
17,2022-04-13,千葉道徳アニメーター ②マンガからアニメへ絵面の理想的な変換 『聖闘士星矢』,https://febri.jp/febri_talk/chibamichinori2/
17,2022-04-15,千葉道徳アニメーター ③キャリアの大きな転機 『バジリスク 〜甲賀忍法帖〜』,https://febri.jp/febri_talk/chibamichinori3/
18,2022-03-07,林明美演出家／アニメーター ①華やかなキャラクターに魅せられた『ベルサイユのばら』,https://febri.jp/febri_talk/hayashi_akemi_1/
18,2022-03-09,林明美演出家／アニメーター ②雑誌の記事から妄想を膨らませた『幻夢戦記レダ』,https://febri.jp/febri_talk/hayashi_akemi_2/
18,2022-03-11,林明美演出家／アニメーター ③演出の重要性を痛感させられた『少女革命ウテナ』,https://febri.jp/febri_talk/hayashi_akemi_3/
18,2022-03-14,小倉信也設定考証／デザイン ①初めて「設定」を意識した『さらば宇宙戦艦ヤマト 愛の戦士たち』,https://febri.jp/febri_talk/ogura_shinya_1/
18,2022-03-16,小倉信也設定考証／デザイン ②作品が内包する鬱屈が自分に響いた『機動戦士Ζガンダム』,https://febri.jp/febri_talk/ogura_shinya_2/
18,2022-03-18,小倉信也設定考証／デザイン ③設定考証としての立ち位置を築いた『プラネテス』,https://febri.jp/febri_talk/ogura_shinya_3/
18,2022-03-21,西田亜沙子アニメーター／キャラデザイナー ①いのまたむつみの絵に魅了された『幻夢戦記レダ』,https://febri.jp/febri_talk/nishida_asako_1/
18,2022-03-23,西田亜沙子アニメーター／キャラデザイナー ②結城信輝が描く「少女像」に衝撃を受けた『X-エックス-』,https://febri.jp/febri_talk/nishida_asako_2/
18,2022-03-25,西田亜沙子アニメーター／キャラデザイナー ③『太陽の王子 ホルスの大冒険』ヒルダという「女性」の生々しい存在感,https://febri.jp/febri_talk/nishida_asako_3/
19,2022-02-14,童田明治バーチャルライバー／アーティスト ①ひとつのことを極めるってカッコいいリアルさに惹かれた『ちはやふる』,https://febri.jp/febri_talk/warabedameiji01/
19,2022-02-16,童田明治バーチャルライバー／アーティスト ②『ひぐらしのなく頃に』から学んだ決してあきらめない気持ち,https://febri.jp/febri_talk/warabedameiji02/
19,2022-02-18,童田明治バーチャルライバー／アーティスト ③心の持ちようで変わる日常風景『ARIA』が気づかせてくれたこと,https://febri.jp/febri_talk/warabedameiji03/
19,2022-02-21,野村和也アニメ監督／演出家 ①業界に入るきっかけとなった『GHOST IN THE SHELL / 攻殻機動隊』,https://febri.jp/febri_talk/nomura_kazuya_1/
19,2022-02-23,野村和也アニメ監督／演出家 ②独特な魅力にとりつかれた『フリクリ』,https://febri.jp/febri_talk/nomura_kazuya_2/
19,2022-02-25,野村和也アニメ監督／演出家 ③「青春」を過ごした『電脳コイル』,https://febri.jp/febri_talk/nomura_kazuya_3/
19,2022-02-28,manzoミュージシャン／作詞家／作曲家／編曲家 ①初めて音楽を意識したアニメ『ルパン三世』,https://febri.jp/febri_talk/manzo_1/
19,2022-03-02,manzoミュージシャン／作詞家／作曲家／編曲家 ②初のアニメ劇伴担当作『秘密結社鷹の爪』,https://febri.jp/febri_talk/manzo_2/
19,2022-03-04,manzoミュージシャン／作詞家／作曲家／編曲家 ③ミュージシャンとしての幅が広がった『天体戦士サンレッド』,https://febri.jp/febri_talk/manzo_3/
20,2022-01-24,待田堂子脚本家 ①プロに必要な度胸と根性を培った『週刊ストーリーランド』,https://febri.jp/febri_talk/machida_touko_1/
